parent_branch_row,parent_from_bus,parent_to_bus,parent_status,disposition
173,119,120,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
174,119,121,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
175,121,122,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
176,122,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
177,122,139,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
178,124,125,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
179,124,126,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
180,124,127,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
181,124,128,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
182,125,126,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
183,125,128,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
184,126,127,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
185,126,128,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
186,126,138,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
187,127,128,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
188,127,132,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
189,128,129,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
190,128,130,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
191,129,130,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
192,130,131,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
193,130,132,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
194,131,133,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
195,131,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
196,131,139,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
197,132,133,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
198,132,134,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
199,132,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
200,132,138,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
201,133,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
202,134,135,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
203,134,136,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
204,135,139,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
205,136,139,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
206,137,138,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
207,1,21,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
208,3,2,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
209,3,4,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
210,10,11,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
211,10,22,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
212,11,23,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
213,13,24,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
214,14,25,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
215,16,27,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
216,20,26,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
217,28,29,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
218,33,36,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
219,40,41,1,replaced_downstate_regional_function
220,49,48,1,replaced_downstate_regional_function
221,48,100,1,replaced_downstate_regional_function
222,54,52,1,retained_upstate_NPCC_parameters
223,54,55,1,retained_upstate_NPCC_parameters
224,56,57,1,retained_upstate_NPCC_parameters
225,58,59,1,retained_upstate_NPCC_parameters
226,60,61,1,retained_upstate_NPCC_parameters
227,75,76,1,replaced_downstate_regional_function
228,84,83,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
229,85,86,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
230,87,85,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
231,101,102,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
232,101,103,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
233,137,136,1,external_NPCC_network_removed_NY_boundary_PQ_registered_separately
234,38,39,1,replaced_downstate_regional_function
235,73,9002,1,exact_parallel_equivalent_retired
236,9002,74,1,replaced_downstate_regional_function
237,74,78,1,replaced_downstate_regional_function
238,77,78,1,replaced_downstate_regional_function
239,78,81,1,replaced_downstate_regional_function
240,78,79,1,replaced_downstate_regional_function
241,78,82,1,replaced_downstate_regional_function
242,78,9003,1,replaced_downstate_regional_function
243,9003,80,1,replaced_downstate_regional_function
244,81,80,1,replaced_downstate_regional_function
245,39,9001,1,replaced_downstate_regional_function
246,9001,73,1,replaced_downstate_regional_function
247,1228,43,1,replaced_downstate_regional_function
248,1228,1222,1,replaced_downstate_regional_function
249,43,1567,1,replaced_downstate_regional_function
250,1567,1222,1,replaced_downstate_regional_function
251,772,1222,1,replaced_downstate_regional_function
252,772,1222,1,replaced_downstate_regional_function
253,772,76,1,replaced_downstate_regional_function
254,73,858,1,replaced_downstate_regional_function
255,73,858,1,replaced_downstate_regional_function
256,73,9002,1,replaced_downstate_regional_function
257,73,9002,1,replaced_downstate_regional_function
258,858,9002,1,replaced_downstate_regional_function
259,858,9002,1,replaced_downstate_regional_function
260,76,774,1,replaced_downstate_regional_function
261,774,77,1,replaced_downstate_regional_function
262,76,77,1,replaced_downstate_regional_function
263,547,594,1,replaced_downstate_regional_function
264,547,594,1,replaced_downstate_regional_function
265,547,594,1,replaced_downstate_regional_function
266,547,594,1,replaced_downstate_regional_function
267,547,74,1,replaced_downstate_regional_function
268,547,74,1,replaced_downstate_regional_function
269,547,74,1,replaced_downstate_regional_function
270,557,1493,1,replaced_downstate_regional_function
271,557,1493,1,replaced_downstate_regional_function
272,560,593,1,replaced_downstate_regional_function
273,9003,594,1,replaced_downstate_regional_function
274,9003,594,1,replaced_downstate_regional_function
275,9003,1497,1,replaced_downstate_regional_function
276,9003,1497,1,replaced_downstate_regional_function
277,593,594,1,replaced_downstate_regional_function
278,593,594,1,replaced_downstate_regional_function
279,593,594,1,replaced_downstate_regional_function
280,593,594,1,replaced_downstate_regional_function
281,593,1501,1,replaced_downstate_regional_function
282,593,1501,1,replaced_downstate_regional_function
283,1136,594,1,replaced_downstate_regional_function
284,1136,594,1,replaced_downstate_regional_function
285,594,1502,1,replaced_downstate_regional_function
286,594,1502,1,replaced_downstate_regional_function
287,594,1502,1,replaced_downstate_regional_function
288,595,600,1,replaced_downstate_regional_function
289,595,600,1,replaced_downstate_regional_function
290,595,600,1,replaced_downstate_regional_function
291,595,1493,1,replaced_downstate_regional_function
292,596,1502,1,replaced_downstate_regional_function
293,596,1502,1,replaced_downstate_regional_function
294,596,1502,1,replaced_downstate_regional_function
295,596,1503,1,replaced_downstate_regional_function
296,596,1503,1,replaced_downstate_regional_function
297,1493,597,1,replaced_downstate_regional_function
298,1493,597,1,replaced_downstate_regional_function
299,1503,598,1,replaced_downstate_regional_function
300,1501,600,1,replaced_downstate_regional_function
301,1501,600,1,replaced_downstate_regional_function
302,1501,600,1,replaced_downstate_regional_function
303,601,628,1,replaced_downstate_regional_function
304,601,628,1,replaced_downstate_regional_function
305,601,628,1,replaced_downstate_regional_function
306,1493,601,1,replaced_downstate_regional_function
307,1493,601,1,replaced_downstate_regional_function
308,1493,601,1,replaced_downstate_regional_function
309,1493,601,1,replaced_downstate_regional_function
310,626,1506,1,replaced_downstate_regional_function
311,626,1506,1,replaced_downstate_regional_function
312,628,1506,1,replaced_downstate_regional_function
313,1136,1532,1,replaced_downstate_regional_function
314,1136,1532,1,replaced_downstate_regional_function
315,1136,1532,1,replaced_downstate_regional_function
