weather_scenario,branch_key,subconductor_ampacity_amp,series_ampacity_at_nominal_kv_mva,assumed_equipment_limit_mva,nominal_display_limit_mva,nominal_MVA_is_not_the_enforced_series_constraint
hot_low_wind,PERFORM2019:AC:900:1519:1,527.494126393501,630.416173049314,1725,630.416173049314,1
hot_low_wind,NY2025:CEEC:351,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:CEEC:352,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:CEEC:361,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:CEEC:362,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:CEEC:14,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:CEEC:371,527.494126393501,630.416173049314,2000,630.416173049314,1
hot_low_wind,NY2025:NYES:1,527.494126393501,630.416173049314,1800,630.416173049314,1
hot_low_wind,NY2025:NYES:2,527.494126393501,630.416173049314,1800,630.416173049314,1
hot_low_wind,NY2025:SMART_PATH:1,482.618671668437,192.261613802561,575,192.261613802561,1
hot_low_wind,NY2025:SMART_PATH:2,482.618671668437,192.261613802561,575,192.261613802561,1
hot_low_wind,NY2025:SMART_PATH:3,482.618671668437,192.261613802561,453,192.261613802561,1
hot_low_wind,NY2025:SMART_PATH:4,482.618671668437,192.261613802561,453,192.261613802561,1
cool_windy,PERFORM2019:AC:651:858:1,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:651:858:2,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:651:902:1,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:651:902:2,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:858:902:1,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:858:902:2,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:897:902:1,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:897:902:2,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:774:1519:1,1474.29500857042,1761.95216353052,1216,1216,1
cool_windy,PERFORM2019:AC:774:900:1,1474.29500857042,1761.95216353052,1725,1725,1
cool_windy,PERFORM2019:AC:900:1519:1,1474.29500857042,1761.95216353052,1725,1725,1
cool_windy,NY2025:CEEC:351,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:CEEC:352,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:CEEC:361,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:CEEC:362,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:CEEC:14,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:CEEC:371,1474.29500857042,1761.95216353052,2000,1761.95216353052,1
cool_windy,NY2025:NYES:1,1474.29500857042,1761.95216353052,1800,1761.95216353052,1
cool_windy,NY2025:NYES:2,1474.29500857042,1761.95216353052,1800,1761.95216353052,1
cool_windy,NY2025:SMART_PATH:1,1353.41960743648,539.164050529179,575,539.164050529179,1
cool_windy,NY2025:SMART_PATH:2,1353.41960743648,539.164050529179,575,539.164050529179,1
cool_windy,NY2025:SMART_PATH:3,1353.41960743648,539.164050529179,453,453,1
cool_windy,NY2025:SMART_PATH:4,1353.41960743648,539.164050529179,453,453,1
