source_id,relative_path,source_uri,sha256_lf_normalized,archive_relative_path,archive_sha256,archive_member,daily_archive_match,source_data_class
NYISO:P58C:20250729,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250729palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip,596e92ccd9b60d2c5c35da21dbf33b5dbbf3243be6f317fae8061ed58b9557c8,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250729palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20250729,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250729ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,ed4d1b490d6013d340b14e2cc0cc7528878ad9bf89995212c1b593a54ade21ae,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250729ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20250122,System Matpower Format/NY_Lite/nyiso_public_cache/202501_palIntegrated/20250122palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20250101palIntegrated_csv.zip,87f2f95d41cc5eb7c609170d98c533318d33988d58b7e6afb50f971aec67b281,System Matpower Format/NY_Lite/nyiso_public_cache/202501_palIntegrated/20250101palIntegrated_csv.zip,f77f56ccb24a2395ddf9bc967b5ab372380a1791448ba228d95cfe1a0a43e28e,20250122palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20250122,System Matpower Format/NY_Lite/nyiso_public_cache/202501_ExternalLimitsFlows/20250122ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250101ExternalLimitsFlows_csv.zip,c57d47f1c3999ca43148359683b345857ddfcac4b3a20952e84298b04523b640,System Matpower Format/NY_Lite/nyiso_public_cache/202501_ExternalLimitsFlows/20250101ExternalLimitsFlows_csv.zip,86b0f3533e6e0ed07dfddd2998be68e33776a6ed1dbc7e00b11153b9950be0cf,20250122ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20250420,System Matpower Format/NY_Lite/nyiso_public_cache/202504_palIntegrated/20250420palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20250401palIntegrated_csv.zip,4b84fbfe0983de06956c6160c0fcad0e163ac6916ea0571d53417b6f893cf745,System Matpower Format/NY_Lite/nyiso_public_cache/202504_palIntegrated/20250401palIntegrated_csv.zip,e774bcfdf7980eed343f4746285732fb8eaf7bc6b93811559ff144aa38903ec6,20250420palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20250420,System Matpower Format/NY_Lite/nyiso_public_cache/202504_ExternalLimitsFlows/20250420ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250401ExternalLimitsFlows_csv.zip,245ec16502ff7c6f0449d2c59f7c4f5e85f5c15a0a30d855c2072d5cd69a73a7,System Matpower Format/NY_Lite/nyiso_public_cache/202504_ExternalLimitsFlows/20250401ExternalLimitsFlows_csv.zip,e3225d222e609d5bc7473e1220456c9d3a45c51935209da8f9542319b27d90a9,20250420ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20250717,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250717palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip,3f61295f256114edef9158e9db1aa7f267ccef6cb9172397981540d4a26bf888,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250717palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20250717,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250717ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,e1753d0b2b02650a87cc6079b595524431b101bd7806b46139b5f1b2d1be5e44,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250717ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
NYISO:P58C:20250727,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250727palIntegrated.csv,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip,851ae7e1c326ca1bf57e64a80927bfafc17c74238be13778e10d6c11400eecf9,System Matpower Format/NY_Lite/nyiso_public_cache/202507_palIntegrated/20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250727palIntegrated.csv,1,P58C_hourly_integrated_zonal_load
NYISO:P32:20250727,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250727ExternalLimitsFlows.csv,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,256ecb5215442154dfc72a58bbf8ee2d8889640d0de5b7e53e45340e581d2533,System Matpower Format/NY_Lite/nyiso_public_cache/202507_ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250727ExternalLimitsFlows.csv,1,P32_five_minute_interface_flow
