scenario_id,timestamp,timestamp_utc,vintage,zone,dataset_split,campaign_role,actual_generation_mw,provenance_class,target_use
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,C,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,D,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,E,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,F,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,G,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,H,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,I,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,J,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,2025-07-17T20:00:00Z,2025,K,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,A,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,B,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,C,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,D,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,E,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,F,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,G,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,H,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,I,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,J,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,2025-07-27T21:00:00Z,2025,K,heldout,2025_target,NaN,missing_public_zonal_generation_observation,unavailable_not_a_fit_target
