zone,zone_name,actual_load_mw,target_load_mw,load_share,actual_load_q_mvar,target_load_q_mvar,source_csv_line,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,target_use,provenance_class,source_field,actual_unit,model_power_scale
G,HUD VL,1410.5,631.818634846144,0.0579532101271232,NaN,NaN,94,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,421.1,188.627314522305,0.017301734693039,NaN,NaN,97,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,992.2,444.445550864476,0.0407665190273886,NaN,NaN,92,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,8992.9,4028.27493889251,0.369491260795609,NaN,NaN,98,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,3451.5,1546.06311107513,0.141811772246555,NaN,NaN,95,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.447939478799109,NYISO:P58C:20190717,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,1468.2,945.169771154243,0.0866951674618546,NaN,NaN,34,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,975.2,627.795641485913,0.0575842033161699,NaN,NaN,27,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,1526.8,982.894160603663,0.0901554159384005,NaN,NaN,25,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,483.7,311.387153185743,0.0285618120837073,NaN,NaN,33,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,715.5,460.610932611947,0.0422492796069725,NaN,NaN,30,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,1271.7,818.670751925386,0.0750921158297511,NaN,NaN,24,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,998.2,642.602142464355,0.0589423213189097,NaN,NaN,28,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,284.9,183.407483859041,0.0168229486513298,NaN,NaN,31,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,668,430.032289286905,0.0394444706882706,NaN,NaN,26,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,6140,3952.69200033174,0.362558458122727,NaN,NaN,32,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,2403,1546.95747179107,0.141893806981908,NaN,NaN,29,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.643760912106146,NYISO:P58C:20190727,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2620.7106,932.340491582214,0.0855184089843234,NaN,NaN,210,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1788.1464,636.148567337793,0.0583503707578569,NaN,NaN,203,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2560.2205,910.820614656522,0.0835445103358795,NaN,NaN,201,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,478.3731,170.185373086867,0.0156101579521595,NaN,NaN,209,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1249.5819,444.549582437007,0.040776061265066,NaN,NaN,206,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,2208.8633,785.822247965843,0.0720791052166776,NaN,NaN,200,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
G,HUD VL,2293.6963,816.002322378635,0.0748473556253137,NaN,NaN,204,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
H,MILLWD,640.25,227.774482133019,0.0208924866989179,NaN,NaN,207,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
I,DUNWOD,1366.5224,486.15217802916,0.0445920360261981,NaN,NaN,202,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
J,N.Y.C.,10230.2371,3639.49544326512,0.333830679482274,NaN,NaN,208,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
K,LONGIL,5208.3862,1852.92849582782,0.169958827655334,NaN,NaN,205,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29T22:00:00Z,2025,training,2025_target,0.355758660106238,NYISO:P58C:20250729,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
A,WEST,2008.0151,930.721354169112,0.0853698945126838,NaN,NaN,210,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
B,GENESE,1495.8089,693.312159348906,0.063593669193092,NaN,NaN,203,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
C,CENTRL,2440.9875,1131.40543191626,0.103777529054328,NaN,NaN,201,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
D,NORTH,555.88,257.652139346724,0.0236329980594821,NaN,NaN,209,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
E,MHK VL,1339.1852,620.716578688692,0.0569348802491313,NaN,NaN,206,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
F,CAPITL,1879.2572,871.04166000348,0.0798958080176795,NaN,NaN,200,S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22T23:00:00Z,2025,training,2025_target,0.463503164975757,NYISO:P58C:20250122,operating_input,source_verified_public_record,Integrated Load,MW,shape_normalized_benchmark_MW
