point_id,source_flow_value,actual_positive_limit_mw,actual_negative_limit_mw,source_csv_line,source_field,unit_interpretation,source_limit_is_equipment_rating,public_interface_name,actual_import_mw,target_import_mw,actual_q_mvar,target_q_mvar,target_positive_limit_mw,target_negative_limit_mw,actual_limit_mw,target_limit_mw,directional_limit_is_placeholder,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,target_use,provenance_class,direction_positive,quantity_scope,coverage_role,default_primary_scope,include_in_unreviewed_total,overlap_resolved,default_channel_include,accounting_policy,accounting_evidence_url,external_region,accounting_scope
23324,209,1399,-800,887,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - HQ - NY,209,190.657256480851,NaN,NaN,1276.21771204168,-729.788541553497,1399,1276.21771204168,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,primary_interregional_interface,1,0,1,1,include_gross_Chateauguay_interface_with_wheel_throughs,https://www.nyiso.com/documents/20142/1409680/Seams_Closed.pdf/e523b0d3-907c-e7a6-fe27-628875cfafad,HQ,ten_distinct_P32_channels_HQ_net_subreport_excluded
325274,150,199,-100,888,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - HQ_CEDARS,150,136.835351541281,NaN,NaN,181.534899711432,-91.2235676941872,199,181.534899711432,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_Cedars_interface,0,0,1,1,include_separate_Cedars_interface,https://eta-publications.lbl.gov/sites/default/files/assessment-of-historic-transmission-schedules-and-flows-2014.pdf,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
23318,-599.89,600,-800,890,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - NE - NY,-599.89,-547.241060240659,NaN,NaN,547.341406165123,-729.788541553497,800,729.788541553497,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,primary_interregional_interface,1,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,ISONE,ten_distinct_P32_channels_HQ_net_subreport_excluded
325277,-67,100,-100,891,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - NPX_1385,-67,-61.1197903551054,NaN,NaN,91.2235676941872,-91.2235676941872,100,91.2235676941872,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_controllable_interface,0,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
325154,0,330,-330,892,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - NPX_CSC,0,0,NaN,NaN,301.037773390818,-301.037773390818,330,301.037773390818,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_controllable_interface,0,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
23317,1445.54,2050,-1900,893,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - OH - NY,1445.54,1318.67316044655,NaN,NaN,1870.08313773084,-1733.24778618956,2050,1870.08313773084,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,primary_interregional_interface,1,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,ONTARIO,ten_distinct_P32_channels_HQ_net_subreport_excluded
23316,-123.61,2000,-1300,894,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - PJ - NY,-123.61,-112.761452026785,NaN,NaN,1824.47135388374,-1185.90638002443,1300,1185.90638002443,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,primary_interregional_interface,1,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,PJM,ten_distinct_P32_channels_HQ_net_subreport_excluded
325905,0,660,-660,895,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - PJM_HTP,0,0,NaN,NaN,602.075546781635,-602.075546781635,660,602.075546781635,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_controllable_interface,0,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/1407325/Constraint%20Reliability%20Margin%20CRM.pdf/b9de3cb5-855a-ca32-b66e-86c6933c88ef,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
325305,423,660,-660,896,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - PJM_NEPTUNE,423,385.875691346412,NaN,NaN,602.075546781635,-602.075546781635,660,602.075546781635,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_controllable_interface,0,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
325658,93,315,-315,897,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,SCH - PJM_VFT,93,84.8379179555941,NaN,NaN,287.35423823669,-287.35423823669,315,287.35423823669,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.912235676941871,NYISO:P32:20190421,operating_input,source_verified_public_record,into_NY_per_published_interface_orientation,P32_SCH_labelled_interface_flow_not_terminal_PQ,additional_controllable_interface,0,0,1,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,UNALLOCATED_COMPONENT,ten_distinct_P32_channels_HQ_net_subreport_excluded
