interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,scenario_id,vintage,dataset_split,campaign_role,timestamp,timestamp_utc,scale_factor_gamma,actual_observed_flow_mw,model_proxy_in_observation_scale_mw,observation_scale_residual_mw,observation_scale_is_uniform_shape_rescaling,near_zero_target,normalized_absolute_error_with_100mw_floor,electrically_qualified,generation_dispatch_observed,generator_dispatch_validation_passed
Moses_South,935.445124173429,785.459513718801,149.985610454627,149.985610454627,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,2189.97,2608.15067206569,418.180672065692,1,0,0.190952694359143,1,0,0
Central_East,751.296900996066,871.897110035751,-120.600209039686,120.600209039686,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,2430.97,2094.7199003097,-336.250099690298,1,0,0.138319312739482,1,0,0
Total_East_proxy,1198.56732231443,1577.70133011957,-379.134007805133,379.134007805133,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,4398.85,3341.77183292562,-1057.07816707438,1,0,0.240307845703851,1,0,0
UPNY_ConEd,1519.77314431051,1288.9029196201,230.870224690406,230.870224690406,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,3593.64,4237.33818830185,643.698188301854,1,0,0.179121500289916,1,0,0
Dunwoodie_South,1186.42620285837,1066.37452850438,120.051674353989,120.051674353989,0,0,S1_2019_SUMMER_PEAK_PUBLIC,2019,training,historical_validation,2019-07-20 16:00,2019-07-20T20:00:00Z,0.358662225381536,2973.2,3307.92070895194,334.720708951943,1,0,0.112579277866253,1,0,0
Dysinger_East,102.917559066167,984.279858700553,-881.362299634386,881.362299634386,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,2232.47,233.429914325155,-1999.04008567484,1,0,0.895438722883105,1,0,0
West_Central,-428.44968590108,575.686902803206,-1004.13658870429,1004.13658870429,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,1305.73,-971.777550692094,-2277.50755069209,1,0,1.74424080835402,1,0,0
Moses_South,406.222222893422,422.313538571587,-16.0913156781651,16.0913156781651,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,957.86,921.362880614199,-36.4971193858008,1,0,0.0381027701185985,1,0,0
Central_East,95.6736521108614,1229.32364547806,-1133.6499933672,1133.6499933672,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,2788.26,216.999826055482,-2571.26017394452,1,0,0.922173747765459,1,0,0
Total_East_proxy,331.151180210722,2283.25133338972,-1952.100153179,1952.100153179,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,5178.7,751.092353206369,-4427.60764679363,1,0,0.85496507748926,1,0,0
