source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1299,56,A,assumed_same_zone_source_distance_aggregation,1313,0.0122760946558749,345,0
1300,57,A,assumed_same_zone_source_distance_aggregation,37,0.171608730639711,115,0
1301,57,A,assumed_same_zone_source_distance_aggregation,37,0.336200709329961,115,0
1302,57,A,assumed_same_zone_source_distance_aggregation,37,0.285848855359085,115,0
1303,66,C,assumed_same_zone_source_distance_aggregation,1244,0.0255301686461171,230,0
1304,43,E,assumed_same_zone_source_distance_aggregation,573,0.0516980201795502,115,0
1305,43,E,assumed_same_zone_source_distance_aggregation,573,0.114198888973512,115,0
1306,44,E,assumed_same_zone_source_distance_aggregation,381,0.059117354977853,115,0
1307,56,A,assumed_same_zone_source_distance_aggregation,138,0.00414157510585112,230,0
1308,53,B,assumed_same_zone_source_distance_aggregation,250,0.159326925637262,115,0
1309,56,A,assumed_same_zone_source_distance_aggregation,1313,0.190746075601973,115,0
1310,56,A,assumed_same_zone_source_distance_aggregation,1313,0.188102347174165,115,0
1311,57,A,assumed_same_zone_source_distance_aggregation,37,0.24713652076329,115,0
1312,57,A,assumed_same_zone_source_distance_aggregation,37,0.247228716207863,115,0
1313,56,A,assumed_same_zone_source_distance_aggregation,1313,0,345,1
1314,56,A,assumed_same_zone_source_distance_aggregation,1570,0.0046463447915384,230,0
1315,58,A,assumed_same_zone_source_distance_aggregation,1246,0.00926167380564041,230,0
1316,56,A,assumed_same_zone_source_distance_aggregation,1261,0.00143136298680663,230,0
1317,56,A,assumed_same_zone_source_distance_aggregation,1261,0.0014809794056637,230,0
1318,56,A,assumed_same_zone_source_distance_aggregation,317,0.0046083402652148,115,0
1319,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0182828583127371,115,0
1320,60,A,assumed_same_zone_source_distance_aggregation,1321,0.0447219722284248,230,1
1321,60,A,assumed_same_zone_source_distance_aggregation,1321,0,230,0
1322,61,A,assumed_same_zone_source_distance_aggregation,1573,0.0148484099749676,115,0
1323,56,A,assumed_same_zone_source_distance_aggregation,1324,0.0019961637092472,115,0
1324,56,A,assumed_same_zone_source_distance_aggregation,1324,0,115,0
1325,61,A,assumed_same_zone_source_distance_aggregation,1573,0.0118530383243039,115,0
1326,56,A,assumed_same_zone_source_distance_aggregation,1324,0.00798452742565588,115,0
1327,56,A,assumed_same_zone_source_distance_aggregation,1324,0.00194517351411127,115,0
1328,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0908444412390426,115,0
1329,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0908565116480088,115,0
1330,61,A,assumed_same_zone_source_distance_aggregation,1330,0,115,0
1331,56,A,assumed_same_zone_source_distance_aggregation,69,0.00338351887832771,115,0
1332,56,A,assumed_same_zone_source_distance_aggregation,69,0.0034562551989111,115,0
1333,57,A,assumed_same_zone_source_distance_aggregation,37,0.248793083469619,115,0
1334,57,A,assumed_same_zone_source_distance_aggregation,37,0.229263601205865,115,0
1335,57,A,assumed_same_zone_source_distance_aggregation,37,0.143037225263943,115,0
1336,57,A,assumed_same_zone_source_distance_aggregation,37,0.142132515066952,115,0
1337,56,A,assumed_same_zone_source_distance_aggregation,69,0.0945383572619204,115,0
1338,56,A,assumed_same_zone_source_distance_aggregation,69,0.0925010081831774,115,0
1339,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0991879237253909,115,0
1340,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0991078145754258,115,0
1341,58,A,assumed_same_zone_source_distance_aggregation,1246,0.147351418370461,115,0
1342,58,A,assumed_same_zone_source_distance_aggregation,1246,0.171756049078587,115,0
1343,58,A,assumed_same_zone_source_distance_aggregation,1246,0.101239184875607,115,0
1344,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0864973914433047,115,0
1345,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0860147041499486,115,0
1346,57,A,assumed_same_zone_source_distance_aggregation,37,0.0838712663783218,115,0
1347,57,A,assumed_same_zone_source_distance_aggregation,37,0.0838008777085037,115,0
1348,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0773787298002412,115,0
1349,57,A,assumed_same_zone_source_distance_aggregation,1566,0.00756246652885155,115,0
1350,57,A,assumed_same_zone_source_distance_aggregation,1566,0.00738782783219451,115,0
1351,37,F,assumed_same_zone_source_distance_aggregation,706,0.00905410956417029,115,0
1352,37,F,assumed_same_zone_source_distance_aggregation,706,0.00908327033617298,115,0
1353,45,E,assumed_same_zone_source_distance_aggregation,1548,0.12957573993349,115,0
1354,45,E,assumed_same_zone_source_distance_aggregation,1548,0.111127962057539,115,0
1355,59,A,assumed_same_zone_source_distance_aggregation,1561,0.0596825021319139,115,0
1356,21356,G,exact_source_region,1356,0,345,0
1357,54,A,assumed_same_zone_source_distance_aggregation,1428,0.0543612247429443,115,0
1358,57,A,assumed_same_zone_source_distance_aggregation,37,0.0397333639518515,115,0
1359,57,A,assumed_same_zone_source_distance_aggregation,37,0.0493549715770622,115,0
1360,21360,K,exact_source_region,1360,0,69,0
1361,37,F,assumed_same_zone_source_distance_aggregation,474,0.0861949214201361,115,0
1362,41,F,assumed_same_zone_source_distance_aggregation,1507,0.0585619270954845,115,0
1363,61,A,assumed_same_zone_source_distance_aggregation,1573,0.00921902923305919,115,0
1364,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0555883604841426,115,0
1365,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0555253401918436,115,0
1366,56,A,assumed_same_zone_source_distance_aggregation,1445,0.0458648995324083,115,0
1367,58,A,assumed_same_zone_source_distance_aggregation,1246,0.150283754173731,115,0
1368,61,A,assumed_same_zone_source_distance_aggregation,38,0.124582072815821,115,0
1369,61,A,assumed_same_zone_source_distance_aggregation,38,0.125467350727413,115,0
1370,61,A,assumed_same_zone_source_distance_aggregation,1573,0.00976473757967924,115,0
