scenario_id,interface_name,model_flow_mw,previous_operator_model_flow_mw,campaign_role,vintage,electrical_baseline_qualified,internal_interface_targets_used,actual_flow_mw,target_flow_mw,target_coverage_qualified,backward_hold_mean_mw,linear_mean_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,scale_factor_gamma,residual_mw,absolute_residual_mw,previous_operator_absolute_residual_mw,normalized_absolute_error_floor100,observation_scale_residual_mw,used_in_prior,used_in_optimizer,exact_public_operator,methodology_freeze_sha256
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Dunwoodie_South,986.701892708498,986.701892708498,revisited_diagnostic,2019,1,0,2062.6183333333333,739.7832815460882,True,2069.960833333333,2066.289583333333,2062.6183333333333,2062.6183333333333,0.358662225381536,246.91861116240977,246.91861116240977,246.91861116240977,0.33377154813010845,688.4433143182108,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Dysinger_East,274.982550574868,246.928024042501,revisited_diagnostic,2019,1,0,941.7566666666668,337.7725418345641,True,951.0308333333334,946.39375,941.7566666666668,941.7566666666668,0.358662225381536,-62.78999125969608,62.78999125969608,90.8445177920631,0.18589430306756455,-175.06719920923268,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,West_Central,-51.4134358580123,-79.4679623903798,revisited_diagnostic,2019,1,0,16.906666666666666,6.063782690450502,True,20.89333333333333,18.9,16.906666666666666,16.906666666666666,0.358662225381536,-57.4772185484628,57.4772185484628,85.53174508083029,0.574772185484628,-160.2544524651849,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Moses_South,429.772790679491,429.772790679491,revisited_diagnostic,2019,1,0,1121.5375,402.2531355988445,True,1118.8408333333334,1120.1891666666666,1121.5375,1121.5375,0.358662225381536,27.519655080646487,27.519655080646487,27.519655080646487,0.06841377392789562,76.72861297665723,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Central_East,852.484299744847,852.484299744847,revisited_diagnostic,2019,1,0,1982.9941666666664,711.2251007352712,True,1982.1575,1982.575833333333,1982.9941666666664,1982.9941666666664,0.358662225381536,141.2591990095758,141.2591990095758,141.2591990095758,0.19861391121255523,393.8502273533483,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Total_East_proxy,1200.58424450465,1391.54264527252,revisited_diagnostic,2019,1,0,3400.0641666666666,1219.4745804566844,True,3404.994166666666,3402.5291666666667,3400.0641666666666,3400.0641666666666,0.358662225381536,-18.89033595203432,18.89033595203432,172.06806481583567,0.015490553271688554,-52.66887510090935,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,UPNY_ConEd,1095.8576304221,1095.8576304221,revisited_diagnostic,2019,1,0,2615.53,938.091810352169,True,2634.7608333333333,2625.1454166666667,2615.53,2615.53,0.358662225381536,157.76582006993112,157.76582006993112,157.76582006993112,0.16817737702102342,439.8729749197974,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Dunwoodie_South,491.669041259738,491.669041259738,revisited_diagnostic,2019,1,0,2115.7608333333333,758.8434888584264,True,2135.2116666666666,2125.48625,2115.7608333333333,2115.7608333333333,0.358662225381536,-267.17444759868846,267.17444759868846,267.17444759868846,0.35208109645984437,-744.919394046794,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Dysinger_East,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,West_Central,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
