hour_index,timestamp,max_internal_branch_error_mw,max_interface_error_mw,max_angle_error_deg,max_native_solved_pg_error_mw,max_nodal_residual_mw,passed
4153,2019-06-23T00:00:00,7.048583938740194e-12,1.1368683772161603e-11,3.694822225952521e-13,1.057287590811029e-11,6.281197784119286e-12,True
4154,2019-06-23T01:00:00,7.048583938740194e-12,1.1368683772161603e-11,2.8421709430404007e-13,6.139089236967266e-12,7.190692485892214e-12,True
4155,2019-06-23T02:00:00,7.105427357601002e-12,8.640199666842818e-12,1.9895196601282805e-13,4.547473508864641e-12,1.4694023775518872e-11,True
4156,2019-06-23T03:00:00,8.753886504564434e-12,1.2050804798491299e-11,3.836930773104541e-13,8.86757334228605e-12,7.219114195322618e-12,True
4157,2019-06-23T04:00:00,7.617018127348274e-12,1.000444171950221e-11,1.8474111129762605e-13,2.7853275241795927e-12,1.5432988220709376e-11,True
4158,2019-06-23T05:00:00,6.87805368215777e-12,7.73070496506989e-12,3.126388037344441e-13,7.105427357601002e-12,6.0254023992456496e-12,True
4159,2019-06-23T06:00:00,8.640199666842818e-12,9.549694368615746e-12,3.268496584496461e-13,7.275957614183426e-12,9.947598300641403e-12,True
4160,2019-06-23T07:00:00,8.412825991399586e-12,8.86757334228605e-12,3.552713678800501e-13,1.0345502232667059e-11,1.1795009413617663e-11,True
4161,2019-06-23T08:00:00,7.105427357601002e-12,8.412825991399586e-12,2.8421709430404007e-13,4.774847184307873e-12,8.895995051716454e-12,True
4162,2019-06-23T09:00:00,6.764366844436154e-12,9.777068044058979e-12,3.268496584496461e-13,9.549694368615746e-12,6.59383658785373e-12,True
4163,2019-06-23T10:00:00,7.787548383930698e-12,1.0459189070388675e-11,3.552713678800501e-13,7.503331289626658e-12,9.464429240324534e-12,True
4164,2019-06-23T11:00:00,5.201172825763933e-12,7.275957614183426e-12,2.8421709430404007e-13,8.640199666842818e-12,1.0942358130705543e-11,True
4165,2019-06-23T12:00:00,6.991740519879386e-12,1.1368683772161603e-11,2.7000623958883807e-13,4.547473508864641e-12,9.777068044058979e-12,True
4166,2019-06-23T13:00:00,6.707523425575346e-12,1.0686562745831907e-11,2.8421709430404007e-13,7.048583938740194e-12,1.3670842236024328e-11,True
4167,2019-06-23T14:00:00,7.73070496506989e-12,1.4097167877480388e-11,3.410605131648481e-13,9.094947017729282e-12,9.734435479913373e-12,True
4168,2019-06-23T15:00:00,6.934897101018578e-12,1.1596057447604835e-11,3.552713678800501e-13,7.275957614183426e-12,9.535483513900544e-12,True
4169,2019-06-23T16:00:00,6.0254023992456496e-12,7.73070496506989e-12,2.4158453015843406e-13,5.002220859751105e-12,8.427036846114788e-12,True
4170,2019-06-23T17:00:00,8.775202786637237e-12,1.1596057447604835e-11,3.410605131648481e-13,6.59383658785373e-12,9.464429240324534e-12,True
4171,2019-06-23T18:00:00,7.119638212316204e-12,7.958078640513122e-12,2.7000623958883807e-13,9.549694368615746e-12,1.0444978215673473e-11,True
4172,2019-06-23T19:00:00,5.6843418860808015e-12,8.86757334228605e-12,3.410605131648481e-13,9.777068044058979e-12,6.139089236967266e-12,True
4173,2019-06-23T20:00:00,7.389644451905042e-12,8.86757334228605e-12,2.984279490192421e-13,6.366462912410498e-12,1.6257217794191092e-11,True
4174,2019-06-23T21:00:00,6.139089236967266e-12,6.480149750132114e-12,2.4158453015843406e-13,5.7980287238024175e-12,1.2391865311656147e-11,True
