timestamp,source_branch_row,stable_key,ny_bus,external_bus,ny_injection_mw,source_pf_mw,pf_to_ny_injection_sign,basis
2019-07-20T16:00:00,40,NYGRID2019:BRANCH:40:F54:T103:PAR1,54,103,310.116210462472,-310.116210462472,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,58,NYGRID2019:BRANCH:58:F66:T134:PAR1,66,134,1728.273597310016,-1728.273597310016,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,61,NYGRID2019:BRANCH:61:F67:T138:PAR1,67,138,-523.9643009743404,523.9643009743404,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-20T16:00:00,70,NYGRID2019:BRANCH:70:F75:T124:PAR1,75,124,-328.1516040279545,328.1516040279545,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,1,NYGRID2019:BRANCH:1:F29:T37:PAR1,37,29,-142.00362983385696,-142.00362983385696,1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,2,NYGRID2019:BRANCH:2:F35:T73:PAR1,73,35,-36.351370166146864,-36.351370166146864,1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,26,NYGRID2019:BRANCH:26:F48:T100:PAR1,48,100,206.9847441862402,-206.9847441862402,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,39,NYGRID2019:BRANCH:39:F54:T102:PAR1,54,102,298.32052760913825,-298.32052760913825,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,40,NYGRID2019:BRANCH:40:F54:T103:PAR1,54,103,343.1805615379403,-343.1805615379403,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,58,NYGRID2019:BRANCH:58:F66:T134:PAR1,66,134,908.5252985019991,-908.5252985019991,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,61,NYGRID2019:BRANCH:61:F67:T138:PAR1,67,138,-319.3175403306016,319.3175403306016,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
2019-07-27T02:00:00,70,NYGRID2019:BRANCH:70:F75:T124:PAR1,75,124,-423.417758171387,423.417758171387,-1.0,NYgrid_solved_DC_flow_on_AC_branch_not_terminal_telemetry
