branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,full_branch_row,source_class,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,declared_planning_length_miles,conductor_choice_basis,physical_conductor_verified,observed_weather
92,PERFORM2019:AC:900:1519:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,257,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
93,NY2025:CEEC:351,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,258,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
94,NY2025:CEEC:352,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,259,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
95,NY2025:CEEC:361,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,260,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
96,NY2025:CEEC:362,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,261,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
97,NY2025:CEEC:14,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,262,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
98,NY2025:CEEC:371,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,263,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
102,NY2025:NYES:1,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,267,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
103,NY2025:NYES:2,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,268,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0
126,NY2025_SPC:MH2,DRAKE_795_ACSR,1,1,433.826765771777,assumed_overhead_AC,291,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,2,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0
127,NY2025_SPC:MH3,DRAKE_795_ACSR,1,1,433.826765771777,assumed_overhead_AC,292,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,2,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0
128,NY2025_SPC:HA2,DRAKE_795_ACSR,1,2,1300.88273978672,assumed_overhead_AC,293,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,83.7,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0
129,NY2025_SPC:HW2,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,294,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,35,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0
130,NY2025_SPC:LINE11,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,295,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,42.5,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0
131,NY2025_SPC:LINE13,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,296,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,11.6,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0
