SEQUENCE_NUMBER,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_NAMEPLATE_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
5396,NY,Astoria Gas Turbine Power,55243,CT3-2A,3-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-2A,3-2,NY,Astoria Gas Turbines,55243,3-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5397,NY,Astoria Gas Turbine Power,55243,CT3-2B,3-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-2B,3-2,NY,Astoria Gas Turbines,55243,3-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5398,NY,Astoria Gas Turbine Power,55243,CT3-3A,3-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-3A,3-3,NY,Astoria Gas Turbines,55243,3-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5399,NY,Astoria Gas Turbine Power,55243,CT3-3B,3-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-3B,3-3,NY,Astoria Gas Turbines,55243,3-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5400,NY,Astoria Gas Turbine Power,55243,CT3-4A,3-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-4A,3-4,NY,Astoria Gas Turbines,55243,3-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5401,NY,Astoria Gas Turbine Power,55243,CT3-4B,3-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT3-4B,3-4,NY,Astoria Gas Turbines,55243,3-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,3-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5402,NY,Astoria Gas Turbine Power,55243,CT4-1A,4-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-1A,4-1,NY,Astoria Gas Turbines,55243,4-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5403,NY,Astoria Gas Turbine Power,55243,CT4-1B,4-1,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-1B,4-1,NY,Astoria Gas Turbines,55243,4-1,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5404,NY,Astoria Gas Turbine Power,55243,CT4-2A,4-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-2A,4-2,NY,Astoria Gas Turbines,55243,4-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5405,NY,Astoria Gas Turbine Power,55243,CT4-2B,4-2,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-2B,4-2,NY,Astoria Gas Turbines,55243,4-2,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5406,NY,Astoria Gas Turbine Power,55243,CT4-3A,4-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-3A,4-3,NY,Astoria Gas Turbines,55243,4-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5407,NY,Astoria Gas Turbine Power,55243,CT4-3B,4-3,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-3B,4-3,NY,Astoria Gas Turbines,55243,4-3,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5408,NY,Astoria Gas Turbine Power,55243,CT4-4A,4-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-4A,4-4,NY,Astoria Gas Turbines,55243,4-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5409,NY,Astoria Gas Turbine Power,55243,CT4-4B,4-4,40,Pipeline Natural Gas,40.7864,-73.9133,OPR,1970-06-01T00:00:00,0,CT4-4B,4-4,NY,Astoria Gas Turbines,55243,4-4,41.9,,GT,NG,40.787,-73.9048,0,0,55243,,,4-4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
