State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Program Code,Primary Rep Info,EPA Region,NERC Region,County,County Code,FIPS Code,Source Category,Latitude,Longitude,Owner/Operator,SO2 Phase,NOx Phase,Unit Type,Primary Fuel Type,Secondary Fuel Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Commercial Operation Date,Operating Status,Max Hourly HI Rate (mmBtu/hr),Associated Generators & Nameplate Capacity (MWe)
NY,Gowanus Generating Station,2494,CT04-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT45 (20)
NY,Gowanus Generating Station,2494,CT04-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT46 (20)
NY,Gowanus Generating Station,2494,CT04-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT47 (20)
NY,Gowanus Generating Station,2494,CT04-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6635,-74.0051,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-01,Operating,299,GT48 (20)
NY,Hudson Avenue,2496,CT0003,,2019,SIPNOX,607301,2,NPCC,Kings County,NY047,047,Electric Utility,40.7052,-73.9807,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",,,Combustion turbine,Other Oil,,,,,,1970-07-01,Operating,235,GT3 (16.3)
NY,Hudson Avenue,2496,CT0004,,2019,SIPNOX,607301,2,NPCC,Kings County,NY047,047,Electric Utility,40.7052,-73.9807,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",,,Combustion turbine,Other Oil,,,,,,1970-07-01,Operating (Retired 05/20/2019),235,4 (16.3)
NY,Hudson Avenue,2496,CT0005,,2019,SIPNOX,607301,2,NPCC,Kings County,NY047,047,Electric Utility,40.7052,-73.9807,"Consolidated Edison of New York, Inc. (Owner)|Consolidated Edison of New York, Inc. (Operator)",,,Combustion turbine,Other Oil,,,,,,1970-07-01,Operating,235,GT5 (16.3)
NY,Narrows Generating Station,2499,CT01-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT11 (22)
NY,Narrows Generating Station,2499,CT01-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT12 (22)
NY,Narrows Generating Station,2499,CT01-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT13 (22)
NY,Narrows Generating Station,2499,CT01-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT14 (22)
NY,Narrows Generating Station,2499,CT01-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT15 (22)
NY,Narrows Generating Station,2499,CT01-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT16 (22)
NY,Narrows Generating Station,2499,CT01-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT17 (22)
NY,Narrows Generating Station,2499,CT01-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT18 (22)
NY,Narrows Generating Station,2499,CT02-1,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT21 (22)
NY,Narrows Generating Station,2499,CT02-2,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT22 (22)
NY,Narrows Generating Station,2499,CT02-3,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT23 (22)
NY,Narrows Generating Station,2499,CT02-4,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT24 (22)
NY,Narrows Generating Station,2499,CT02-5,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT25 (22)
NY,Narrows Generating Station,2499,CT02-6,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT26 (22)
NY,Narrows Generating Station,2499,CT02-7,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT27 (22)
NY,Narrows Generating Station,2499,CT02-8,CP0001,2019,SIPNOX,601740,2,,Kings County,NY047,047,Electric Utility,40.6486,-74.0209,"Astoria Generating Company, LP (Owner)|Astoria Operating Services, Inc. (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1972-05-01,Operating,297,NT28 (22)
NY,Ravenswood Generating Station,2500,10,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,Residual Oil,,Overfire Air,,,1963-02-01,Operating,4204,1 (400)
NY,Ravenswood Generating Station,2500,20,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",Phase 2,,Tangentially-fired,Residual Oil,Pipeline Natural Gas,,Overfire Air,,,1963-05-01,Operating,4171,2 (400)
NY,Ravenswood Generating Station,2500,30,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,Residual Oil,,,,,1965-06-01,Operating,9379,3 (1027.7)
NY,Ravenswood Generating Station,2500,CT0001,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,,,,,,1967-07-01,Operating,243,GT1 (18.6)
NY,Ravenswood Generating Station,2500,CT0004,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-09-01,Operating,235,GT4 (21.2)
NY,Ravenswood Generating Station,2500,CT0005,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,235,GT5 (21.2)
NY,Ravenswood Generating Station,2500,CT0006,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,240,GT6 (22)
NY,Ravenswood Generating Station,2500,CT0007,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,240,GT7 (22)
NY,Ravenswood Generating Station,2500,CT0008,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-07-01,Operating,255,GT8 (25)
NY,Ravenswood Generating Station,2500,CT0009,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-07-01,Operating,255,GT9 (25)
NY,Ravenswood Generating Station,2500,CT0010,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,255,GT10 (25)
NY,Ravenswood Generating Station,2500,CT0011,,2019,SIPNOX,605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,255,GT11 (25)
NY,Ravenswood Generating Station,2500,CT02-1,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-12-01,Operating,524,GT21 (42.9)
NY,Ravenswood Generating Station,2500,CT02-2,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-12-01,Operating,524,GT22 (42.9)
NY,Ravenswood Generating Station,2500,CT02-3,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-12-01,Operating,524,GT23 (42.9)
NY,Ravenswood Generating Station,2500,CT02-4,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-12-01,Operating,524,GT24 (42.9)
NY,Ravenswood Generating Station,2500,CT03-1,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",605624,2,NPCC,Queens County,NY081,081,Electric Utility,40.7585,-73.9451,"Helix Ravenswood, LLC (Owner)|Helix Ravenswood, LLC (Operator)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1970-08-01,Operating,524,GT31 (42.9)
